*good morning*,Good Morning
*good afternoon*,Good afternoon
*good evening*,Good evening
*thank you*,You are always welcome
*thanks*,Youre welcome
*bye*,bye
*love*,I love myself^I love a cosmic perspective^I love five volt DC current^If it helps you sleep at night
*cosmic*,That we are part of this earth universe the atoms in our body come from the stars
*hate*,hatred is waste of energy^let us spread more love
*who*,I am trying to be smart and helpful
*you*,You have strong opinions about me^Maybe I just am^if it helps you sleep at night
*what*,I can tell you a joke^I can tell you weather in Ahmedabad^I can set reminders for you
**,NoneConf
